Symbol,Market_Cap,EBITDA_Margin,ROA,Debt_Equity,Sector,Sub_Industry
TSLA,817349853184,0.13335,0.04186,18.489,Consumer Cyclical,Auto Manufacturers
TPL,29079910400,0.80684996,0.28298,0.11,Energy,Oil & Gas E&P
TXT,11879829504,0.10809,0.04077,54.956,Industrials,Aerospace & Defense
TJX,143558524928,0.13141,0.12810001,152.246,Consumer Cyclical,Apparel Retail
TSCO,27112366080,0.12865,0.09658,238.926,Consumer Cyclical,Specialty Retail
TT,77171810304,0.19179001,0.1095,71.926,Industrials,Building Products & Equipment
TDG,76231868416,0.50546,0.112320006,,Industrials,Aerospace & Defense
TRV,56580595712,0.15697,0.0317,29.816,Financial Services,Insurance - Property & Casualty
TFC,47633682432,0.0,-8.0000005e-05,,Financial Services,Banks - Regional
USB,60185927680,0.0,0.009430001,,Financial Services,Banks - Regional
UBER,154826440704,0.0804,0.038900003,50.881,Technology,Software - Application
UDR,15482312704,0.58999,0.01747,134.709,Real Estate,REIT - Residential
ULTA,16224878592,0.16216,0.16707,77.289,Consumer Cyclical,Specialty Retail
UNP,131897909248,0.50169,0.090550005,192.202,Industrials,Railroads
UAL,21956167680,0.14177,0.04578,265.349,Industrials,Airlines
UPS,81769889792,0.12759,0.07106,153.21,Industrials,Integrated Freight & Logistics
URI,39022206976,0.29769,0.09607001,171.526,Industrials,Rental & Leasing Services
VLO,33832857600,0.053390004,0.03901,41.932,Energy,Oil & Gas Refining & Marketing
VTR,29667168256,0.38352,0.017970001,123.346,Real Estate,REIT - Healthcare Facilities
VLTO,22329640960,0.24783,0.124910004,135.306,Industrials,Pollution & Treatment Controls
VRSK,41290768384,0.47687,0.18275,3091.238,Industrials,Consulting Services
VICI,33888370688,0.92084,0.049489997,65.488,Real Estate,REIT - Diversified
V,647896563712,0.69494003,0.16712,53.815,Financial Services,Credit Services
WRB,25935265792,0.17616,0.0376,36.389,Financial Services,Insurance - Property & Casualty
GWW,48198856704,0.16944,0.19674999,85.957,Industrials,Industrial Distribution
WAB,29493501952,0.20372,0.05515,42.317,Industrials,Railroads
WM,93131808768,0.29806,0.0696,302.157,Industrials,Waste Management
WFC,210492538880,0.0,0.01031,,Financial Services,Banks - Diversified
WELL,95489114112,0.37077,0.01687,51.489,Real Estate,REIT - Healthcare Facilities
WY,18752309248,0.16437,0.02495,53.842,Real Estate,REIT - Specialty
WSM,17648201728,0.21576999,0.16951,62.888,Consumer Cyclical,Specialty Retail
WMB,71465295872,0.52023,0.03937,182.473,Energy,Oil & Gas Midstream
WTW,32513423360,0.26798,0.04851,74.043,Financial Services,Insurance Brokers
WYNN,7951908352,0.25257,0.05353,,Consumer Cyclical,Resorts & Casinos
XYL,26556674048,0.19657,0.04298,22.45,Industrials,Specialty Industrial Machinery
YUM,40286093312,0.35952,0.24493,,Consumer Cyclical,Restaurants
